id,user_query,function_calls
21,오늘 미션 뭐야? 그리고 이번 주 몇 번 했는지 궁금해!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
22,이번 주 내가 얼마나 했는지 알려주고 오늘 미션도 보여줘!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
23,오늘 미션이 뭐지? 요즘 몇 번 했는지도 알고 싶어ㅎㅎ,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
24,"오늘 한 미션 뭐고, 이번 주 내가 성공한 거 몇 번인지 알려줘!","[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
25,오늘 미션있어? 그리고 이번 주 내 기록도 좀 알고 싶어ㅠ,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
26,오늘 미션은 뭐야? 이번 주 내가 얼마나 했는지 확인해줘!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
27,오늘 어떤 미션인지 궁금하고 이번 주 내가 성공한 건 몇 번인지 좀 알려줘!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
28,오늘 미션 뭐야? 그리고 이번 달에 몇 번 성공했는지 알려줘!,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
29,이번 주 미션 뭐야? 그리고 내가 몇 번 했는지 보고 싶어ㅠ,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
30,"오늘 미션 확인하고 싶은데, 이번 달에 내가 얼마나 했는지도 알고 싶어ㅎㅎ","[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
31,오늘 미션 알려줘! 그리고 내가 이번 주 몇 번 했는지 궁금해,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
32,오늘 미션 뭐야? 나 이번 달 기록도 좀 확인해볼래,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
33,오늘의 미션 보여줘! 그리고 지난 주 성공한 거 몇 번인지 알려줘,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
34,오늘 미션 알려줘! 그리고 이번 달에 다 했는지 기록도 확인해줘요,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
35,오늘 미션 다 했어ㅎㅎ 그리고 이번 주 몇 번 했는지도 알고 싶어,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
36,오늘 다 끝냈어요!! 이번 주 기록도 보여줘요,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
37,다 해냈다!! 근데 이번 주 몇 번 한 건지 확인해줄래?,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
38,미션 다 했음ㅋㅋ 이번 주 기록 좀 보여줘,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
39,완전 다 했어 ㅎㅎ 이번 주 몇 번 했는지도 궁금해,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
40,오늘 다 했어 근데 이번 주 몇 번인지 알려줘!!,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
41,오늘 미션 반만 했는데 이번 주 몇 번 했는지 궁금해요ㅠ,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
42,미션 못 했고 이번 주 기록도 좀 보여줘요,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
43,오늘은 아파서 미션 못 했는데 지난 주 몇 번 한지 알 수 있어?,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
44,미션 다 못 했는데 이번 주 나 기록은 몇 번인지 알려줘,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
45,오늘은 완전 패스하고 이번 주 몇 번 했었는지 확인해줘,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
46,미션 실패했는데 이번 주 내 기록 몇 개인지 봐줄래요?,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
47,오늘 힘들어서 미션 못 했는데 지난 주 기록도 보고 싶어ㅠ,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
48,오늘 미션 바꿔달라는 거 취소하고 오늘 할 미션 보여줘요,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
49,방금 한 미션 취소하고 오늘 해야 할 거 다시 알려줘,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
50,미션 바꿔달라고 했던 거 취소하고 지금 해야 할 거 알려줘,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
51,오늘 미션 취소하고 다시 원래 미션 보여줄 수 있어?,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
52,미션 취소해줘! 그리고 오늘 할 거 뭐야?,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
53,아 미션 바꿔달라고 한 거 취소하고 오늘 할 거 좀 알려줘,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
54,방금 한 거 취소하고 이번 주 몇 번 했는지 알려줘!,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
55,지금 미션 패스하고 이번 주 기록 좀 보고 싶어요,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
56,오늘 미션 취소하고 주간 기록 확인하고 싶어,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
57,아 방금 처리한 거 취소하고 이번 주 몇 번 했는지 보고 싶어!,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
58,막 한 거 취소하고 이번 주 몇 번 했는지 알려줄 수 있어?,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
59,오늘 미션 그냥 취소하고 이번 주 기록 좀 보고 싶어 ㅎㅎ,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
60,줄넘기 대신에 자전거 타면 다 했어?,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
61,자전거 타기로 했는데 완전 다 했어!!,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
62,자전거로 바꿔도 다 했어!!,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
63,줄넘기로 바꿔도 괜찮아? 오늘 미션은 다 했어,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
64,오늘은 자전거로 했는데 미션 다 했어ㅎㅎ,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
65,자전거 타기로 했고 다 했어 ㅋㅋ,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
66,오늘 자전거 타기로 하고 미션 완전히 완료했어요!,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
67,오늘 미션 집에서 하면 성공인가요? 다 했어요ㅎㅎ,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
68,"집에서 해도 인정되면 좋겠는데, 미션 다 했어! 완전 기분 좋아","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
69,집에서 미션 다 했다고 하면 돼? 어차피 다 했거든요~~,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
70,"오늘 집에서 미션 하고 왔는데, 인정해주면 좋겠어요! 다 했어요ㅋㅋ","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
71,미션 집에서 하고 성공했어요? 완전 다 했거든요,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
72,이거 집에서 해도 돼? 나 미션 다 했어 완전!,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
73,"다 했고, 집에서 해도 되죠? 넘 기쁘다!!","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
74,오늘 미션 줄넘기로 해도 돼요? 그리고 오늘 미션 뭐예요?,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
75,자전거 대신 줄넘기 해도 인정돼? 오늘 미션 내용도 알려줘,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
76,"오늘 학원 갔다 와서 미션 확인하려고 하는데, 자전거로 해도 돼? 오늘 미션 뭐야?","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
77,오늘 미션 뭐야? 줄넘기로 해도 괜찮아?,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
78,집에서 해도 인정해줘? 그리고 오늘 미션 내용은 뭐야?,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
79,"오늘 미션 내용 좀 알려주고, 가능하면 줄넘기로 해도 돼?","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
80,"오늘 미션 뭐고, 집에서 해도 돼?","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
81,"오늘 미션 알려줘, 실내에서도 해도 되나?","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
82,"오늘 미션을 확인하고 싶은데, 밖에서 할 수 있어?","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
83,"오늘 뭐 해야 하는지 궁금한데, 집에서도 괜찮아?","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
84,"오늘 미션이 뭐냐고, 실내에서 해도 인정돼?","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
85,"오늘 미션 내용 좀 알려줘, 집에서 해도 될까?","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
86,"오늘 해야 하는 거 알려줘, 내가 집에서 할 수 있어?","[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
87,오늘 미션 뭔지 알려주고 쉽게 해줘!,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""easier""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
88,"오늘 한 거 알려주고, 미션 좀 쉽게 바꿔줘!","[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""easier""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
89,오늘 미션 뭐야? 좀 쉽게 할 수 있게 해줘!,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""easier""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
90,오늘 미션 알려줄래? 난이도를 좀 낮춰줬으면 좋겠어ㅠ,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""easier""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
91,오늘 미션 보여줘! 그리고 좀 쉽게 해줄 수 있어?,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""easier""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
92,오늘 미션 뭐야? 더 쉽게 해줬으면 좋겠다ㅎㅎ,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""easier""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
93,미션 정보 좀 알려줘! 그리고 난이도 좀 쉽게 해줘야겠어!,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""easier""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
94,오늘 미션 알려주고 좀 더 어려운 걸로 바꿔줄래?,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""harder""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
95,오늘 미션 뭐야? 근데 진짜 더 어렵게 해줘!!,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""harder""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
96,"오늘 미션 다 했으면 좋겠는데, 좀 더 힘들게 해줘도 돼?","[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""harder""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
97,오늘 뭐 하는 거야? 그거 좀 더 어려웠음 좋겠어ㅎㅎ,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""harder""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
98,"오늘 미션 알려줘, 그리고 이거 너무 쉬워서 더 어려운 걸로 해줘!","[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""harder""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
99,"오늘 미션 정보 좀 주고, 그거 더 어려운 거로 바꿔줄 수 있어?","[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""harder""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
100,오늘 미션 뭐야? 근데 이건 너무 쉬워서 진짜 어렵게 해주면 좋겠어!,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""harder""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
