id,user_query,function_calls
1,아까 미션 제출한 거 취소하고 오늘 마감 시간이 언제인지 다시 확인하고 싶어요,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""deadline""}}]"
2,아까 제출한 거 취소하고 미션 인증은 어떻게 하는지도 다시 알려줘,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""general_rule""}}]"
3,방금 미션 바꿔달라고 한 거 취소하고 오늘 해야 할 원래 미션 다시 보여줘요,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
4,방금 다른 미션으로 바꾼 거 취소하고 이번달 미션 성공 많이 했는지 알려주세요,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
5,방금 처리한 거 취소하고 이번 주 기록부터 다시 보고 싶어요,"[{""name"": ""cancel_mission_action"", ""arguments"": {}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
6,달리기 대신 수영해도 인정돼요? 오늘 미션 내용도 알려주세요,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""behavior""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""today""}}]"
7,집에서 해도 됨? 그리고 지난주 기록도 같이 보여줘,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""place""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
8,저녁에 해도 되는지 확인해줘 안 된다면 오늘 미션 실패야...,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""time""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}]"
9,아침 미션을 저녁에 해도 인정되면 오늘 성공으로 제출할게요,"[{""name"": ""check_mission_equivalency"", ""arguments"": {""equivalency_type"": ""time""}}, {""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}]"
10,미션 마감이 몇시까지였지? 글고 나 이번 달 미션 얼마나 했어?,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""deadline""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
11,미션 마감 언제인지랑 지난주 기록도 같이 알려줘요,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""deadline""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
12,미션 반만 해도 성공임? 아니 근데 나 이번 달 얼마나 했어?,"[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""general_rule""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
13,"반만 성공했는데 이것도 인정해줘? 참, 저번 주 나 진짜 열심히 한듯? 확인 ㄱㄱ","[{""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""general_rule""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
14,오늘 미션 쉽게 조정해주고 이번 주에 제가 얼마나 했는지도 같이 보고 싶어요,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""easier""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
15,미션 조금 더 어렵게 바꿔주세요. 그리고 이번 달 얼마나 성공했는지 알려주세요,"[{""name"": ""request_mission_adjustment"", ""arguments"": {""adjustment_type"": ""harder""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
16,오늘 미션 절반만 했는데 실패 제출이요. 근데 마감 시간 언제까지였죠?,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""deadline""}}]"
17,오늘 미션 실패했는데 성공 기준이 뭔지 다시 알려줘요,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""general_rule""}}]"
18,오늘은 못 했으니까 실패로 남기고 이번 달 기록도 같이 보여주세요,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""fail""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""monthly_summary""}}]"
19,오늘 미션 다 했어요 근데 이번 주 기록도 보여줘,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_user_history"", ""arguments"": {""query_type"": ""weekly_summary""}}]"
20,나 오늘 드디어 미션 성공! 제출하고 싶은데 인증은 어떻게 해?,"[{""name"": ""submit_mission_result"", ""arguments"": {""result_type"": ""success""}}, {""name"": ""get_mission_info"", ""arguments"": {""query_type"": ""general_rule""}}]"