id,user_query,function_name,arguments
1,방금 제출한 거 취소해줘요,cancel_mission_action,{}
2,아 잠깐 제출 취소요,cancel_mission_action,{}
3,취소할게 방금 제출한 거,cancel_mission_action,{}
4,그냥 할게 아까 말한 거 취소좀,cancel_mission_action,{}
5,방금 제출했는데 더 해서 미션 성공하고 싶어졌어요 취소해줘요,cancel_mission_action,{}
6,달리기 대신 줄넘기로 해도 같은 거로 봐줌?,check_mission_equivalency,"{""equivalency_type"": ""behavior""}"
7,버피테스트 말고 다른 운동 하면 안 됨?,check_mission_equivalency,"{""equivalency_type"": ""behavior""}"
8,달리기 대신 빠르게 걷기 해도 인정됨?,check_mission_equivalency,"{""equivalency_type"": ""behavior""}"
9,오늘 야외 대신 실내에서 해도 미션 성공으로 인정받을 수 있어요?,check_mission_equivalency,"{""equivalency_type"": ""place""}"
10,공원 말고 집에서 해도 됨?,check_mission_equivalency,"{""equivalency_type"": ""place""}"
11,학교 운동장 걷기 미션인데 비가 와서 실내에서 걸어도 돼요?,check_mission_equivalency,"{""equivalency_type"": ""place""}"
12,아침에 10분 걷기 미션인데 저녁에 걸어도 인정돼요?,check_mission_equivalency,"{""equivalency_type"": ""time""}"
13,오늘 미션 점심 말고 저녁에 해도 됨?,check_mission_equivalency,"{""equivalency_type"": ""time""}"
14,오전 말고 밤에 해도 인정돼?,check_mission_equivalency,"{""equivalency_type"": ""time""}"
15,점심에 해야 하는 미션인데 저녁으로 미뤄서 해도 괜찮나요?,check_mission_equivalency,"{""equivalency_type"": ""time""}"
16,미션 내는거 마감 언제야,get_mission_info,"{""query_type"": ""deadline""}"
17,언제까지 내야 함,get_mission_info,"{""query_type"": ""deadline""}"
18,제출 몇 시까지 해야 하는지 알려주실 수 있나요?,get_mission_info,"{""query_type"": ""deadline""}"
19,아직 마감 시간 안 지난 거지?,get_mission_info,"{""query_type"": ""deadline""}"
20,규칙이 뭐야,get_mission_info,"{""query_type"": ""general_rule""}"
21,부분 수행도 인정돼요?,get_mission_info,"{""query_type"": ""general_rule""}"
22,인증은 어떻게 해요?,get_mission_info,"{""query_type"": ""general_rule""}"
23,미션 반만 했는데 이게 성공이야 실패야?,get_mission_info,"{""query_type"": ""general_rule""}"
24,미션 인증 어디다 해?,get_mission_info,"{""query_type"": ""general_rule""}"
25,오늘 뭐 해야함?,get_mission_info,"{""query_type"": ""today""}"
26,오늘 미션 뭐임,get_mission_info,"{""query_type"": ""today""}"
27,오늘 뭐 하는 거야,get_mission_info,"{""query_type"": ""today""}"
28,오늘 미션 알려줘,get_mission_info,"{""query_type"": ""today""}"
29,미션 바꿔줘,request_mission_adjustment,"{""adjustment_type"": ""change""}"
30,그냥 다른 미션으로 해줘,request_mission_adjustment,"{""adjustment_type"": ""change""}"
31,실내에서 할 수 있는 걸로 미션 바꿔줄 수 있어요?,request_mission_adjustment,"{""adjustment_type"": ""change""}"
32,오늘 미션 못 할 것 같아요 미션 변경해주세요,request_mission_adjustment,"{""adjustment_type"": ""change""}"
33,이 미션 너무 빡셈 난이도 좀 쉽게 바꿔줘,request_mission_adjustment,"{""adjustment_type"": ""easier""}"
34,미션 난이도 좀 낮춰,request_mission_adjustment,"{""adjustment_type"": ""easier""}"
35,미션이 어려워서 못 하겠어요..,request_mission_adjustment,"{""adjustment_type"": ""easier""}"
36,좀 안 어려운 미션 없나요?,request_mission_adjustment,"{""adjustment_type"": ""easier""}"
37,이 미션 너무 쉬움 난이도 올려줘,request_mission_adjustment,"{""adjustment_type"": ""harder""}"
38,더 어려운 미션 주세요 지금 거는 넘 쉬워요,request_mission_adjustment,"{""adjustment_type"": ""harder""}"
39,좀 더 어려운 미션 없어요?,request_mission_adjustment,"{""adjustment_type"": ""harder""}"
40,미션 하드 모드로 해주세요,request_mission_adjustment,"{""adjustment_type"": ""harder""}"
41,이번 주 몇 개 함?,get_user_history,"{""query_type"": ""weekly_summary""}"
42,주간 기록 보고 싶어요,get_user_history,"{""query_type"": ""weekly_summary""}"
43,이번 주 얼마나 한건지 보여줘,get_user_history,"{""query_type"": ""weekly_summary""}"
44,이번 달 얼마나 함?,get_user_history,"{""query_type"": ""monthly_summary""}"
45,월간 기록 알려줘,get_user_history,"{""query_type"": ""monthly_summary""}"
46,이번 달 몇 번 성공함?,get_user_history,"{""query_type"": ""monthly_summary""}"
47,어제 기록 알려줘,get_user_history,"{""query_type"": ""daily_summary""}"
48,오늘 미션 했는지 확인해줘,get_user_history,"{""query_type"": ""daily_summary""}"
49,그저께 내가 미션 했어?,get_user_history,"{""query_type"": ""daily_summary""}"
50,오늘 미션 못 했어요 ㅠ,submit_mission_result,"{""result_type"": ""fail""}"
51,오늘 그냥 패스,submit_mission_result,"{""result_type"": ""fail""}"
52,시간이 없어서 오늘 미션 절반만 했어요..,submit_mission_result,"{""result_type"": ""fail""}"
53,아파서 못 함,submit_mission_result,"{""result_type"": ""fail""}"
54,반만 했어 걍 내줘,submit_mission_result,"{""result_type"": ""fail""}"
55,다 함ㅋ,submit_mission_result,"{""result_type"": ""success""}"
56,완료 ㅇㅇ,submit_mission_result,"{""result_type"": ""success""}"
57,오늘도 성공ㅋㅋ,submit_mission_result,"{""result_type"": ""success""}"
58,겨우 다 했어요 성공이에요!,submit_mission_result,"{""result_type"": ""success""}"
59,오늘 미션 겨우 성공했다,submit_mission_result,"{""result_type"": ""success""}"